Time;Channel A;Channel B
(ms);(V);(V)

-7,34862489;2,43324100;1,95074300
-7,30766490;2,47825600;1,95074300
-7,26670490;2,29804400;1,95074300
-7,22574490;2,34305900;1,95074300
-7,18478490;2,38807300;1,95074300
-7,14382490;2,38807300;1,95074300
-7,10286490;2,34305900;1,95074300
-7,06190490;2,56843800;1,95074300
-7,02094490;2,56843800;1,95074300
-6,97998490;2,65846700;1,99514800
-6,93902490;2,47825600;1,95074300
-6,89806490;2,61345300;1,95074300
-6,85710490;2,70363500;1,95074300
-6,81614490;2,47825600;1,95074300
-6,77518490;2,70363500;1,99514800
-6,73422490;2,52327000;1,95074300
-6,69326490;2,47825600;1,95074300
-6,65230490;2,56843800;1,95074300
-6,61134490;2,38807300;1,99514800
-6,57038490;2,38807300;1,95074300
-6,52942490;2,29804400;1,95074300
-6,48846490;2,47825600;1,95074300
-6,44750490;2,47825600;1,95074300
-6,40654490;2,34305900;1,95074300
-6,36558490;2,38807300;1,95074300
-6,32462490;2,65846700;1,95074300
-6,28366490;2,70363500;1,99514800
-6,24270490;2,74865000;1,95074300
-6,20174490;2,74865000;1,95074300
-6,16078490;2,65846700;1,95074300
-6,11982490;2,56843800;1,95074300
-6,07886490;2,47825600;1,99514800
-6,03790490;2,47825600;1,99514800
-5,99694490;2,52327000;1,95074300
-5,95598490;2,38807300;1,95074300
-5,91502490;2,29804400;1,95074300
-5,87406490;2,52327000;1,95074300
-5,83310490;2,38807300;1,99514800
-5,79214490;2,47825600;1,95074300
-5,75118490;2,47825600;1,95074300
-5,71022490;2,47825600;1,95074300
-5,66926491;2,56843800;1,95074300
-5,62830491;2,65846700;1,95074300
-5,58734491;2,70363500;1,95074300
-5,54638491;2,70363500;1,95074300
-5,50542491;2,47825600;1,95074300
-5,46446491;2,38807300;1,95074300
-5,42350491;2,47825600;1,95074300
-5,38254491;2,38807300;1,99514800
-5,34158491;2,29804400;1,95074300
-5,30062491;2,34305900;1,95074300
-5,25966491;2,34305900;1,95074300
-5,21870491;2,43324100;1,95074300
-5,17774491;2,47825600;1,95074300
-5,13678491;2,65846700;1,95074300
-5,09582491;2,65846700;1,95074300
-5,05486491;2,47825600;1,95074300
-5,01390491;2,56843800;1,95074300
-4,97294491;2,70363500;1,95074300
-4,93198491;2,56843800;1,95074300
-4,89102491;2,47825600;1,95074300
-4,85006491;2,65846700;1,99514800
-4,80910491;2,56843800;1,95074300
-4,76814491;2,38807300;1,95074300
-4,72718491;2,29804400;1,95074300
-4,68622491;2,47825600;1,95074300
-4,64526491;2,29804400;1,95074300
-4,60430491;2,34305900;1,95074300
-4,56334491;2,34305900;1,95074300
-4,52238491;2,38807300;1,95074300
-4,48142491;2,47825600;1,95074300
-4,44046491;2,70363500;1,95074300
-4,39950491;2,74865000;1,99514800
-4,35854491;2,70363500;1,99514800
-4,31758491;2,52327000;1,95074300
-4,27662491;2,65846700;1,95074300
-4,23566491;2,47825600;1,95074300
-4,19470491;2,65846700;1,95074300
-4,15374491;2,38807300;1,99514800
-4,11278491;2,47825600;1,95074300
-4,07182491;2,34305900;1,95074300
-4,03086491;2,34305900;1,95074300
-3,98990492;2,29804400;1,95074300
-3,94894492;2,38807300;1,95074300
-3,90798492;2,52327000;1,95074300
-3,86702492;2,47825600;1,95074300
-3,82606492;2,56843800;1,95074300
-3,78510492;2,65846700;1,95074300
-3,74414492;2,83883200;1,95074300
-3,70318492;2,74865000;1,95074300
-3,66222492;2,65846700;1,99514800
-3,62126492;2,65846700;1,95074300
-3,58030492;2,52327000;1,99514800
-3,53934492;2,47825600;1,95074300
-3,49838492;2,34305900;1,95074300
-3,45742492;2,38807300;1,95074300
-3,41646492;2,29804400;1,95074300
-3,37550492;2,34305900;1,95074300
-3,33454492;2,29804400;1,95074300
-3,29358492;2,52327000;1,95074300
-3,25262492;2,47825600;1,95074300
-3,21166492;2,47825600;1,95074300
-3,17070492;2,56843800;1,95074300
-3,12974492;2,56843800;1,95074300
-3,08878492;2,65846700;1,95074300
-3,04782492;2,70363500;1,95074300
-3,00686492;2,74865000;1,99514800
-2,96590492;2,65846700;1,95074300
-2,92494492;2,56843800;1,95074300
-2,88398492;2,38807300;1,95074300
-2,84302492;2,47825600;1,95074300
-2,80206492;2,38807300;1,95074300
-2,76110492;2,34305900;1,95074300
-2,72014492;2,38807300;1,95074300
-2,67918492;2,43324100;1,95074300
-2,63822492;2,38807300;1,95074300
-2,59726492;2,38807300;1,95074300
-2,55630492;2,52327000;1,95074300
-2,51534492;2,83883200;1,99514800
-2,47438492;2,79366400;1,95074300
-2,43342492;2,74865000;1,95074300
-2,39246492;2,65846700;1,99514800
-2,35150493;2,47825600;1,95074300
-2,31054493;2,47825600;1,95074300
-2,26958493;2,38807300;1,95074300
-2,22862493;2,38807300;1,95074300
-2,18766493;2,38807300;1,95074300
-2,14670493;2,29804400;1,95074300
