Time;Channel B
(ms);(V)

-2,81277693;2,52876400
-2,81021693;2,48420700
-2,80765693;2,48420700
-2,80509693;2,52876400
-2,80253693;2,43980200
-2,79997693;2,39524500
-2,79741693;2,43980200
-2,79485693;2,48420700
-2,79229693;2,52876400
-2,78973693;2,57316800
-2,78717693;2,48420700
-2,78461693;2,48420700
-2,78205693;2,52876400
-2,77949693;2,48420700
-2,77693693;2,43980200
-2,77437693;2,48420700
-2,77181693;2,48420700
-2,76925693;2,39524500
-2,76669693;2,39524500
-2,76413693;2,48420700
-2,76157693;2,48420700
-2,75901693;2,43980200
-2,75645693;2,43980200
-2,75389693;2,52876400
-2,75133693;2,57316800
-2,74877693;2,66213000
-2,74621693;2,57316800
-2,74365693;2,52876400
-2,74109693;2,57316800
-2,73853693;2,52876400
-2,73597693;2,57316800
-2,73341693;2,57316800
-2,73085693;2,66213000
-2,72829693;2,57316800
-2,72573693;2,52876400
-2,72317693;2,57316800
-2,72061693;2,57316800
-2,71805693;2,43980200
-2,71549693;2,43980200
-2,71293693;2,39524500
-2,71037693;2,48420700
-2,70781693;2,48420700
-2,70525693;2,48420700
-2,70269693;2,48420700
-2,70013693;2,57316800
-2,69757693;2,52876400
-2,69501693;2,43980200
-2,69245693;2,43980200
-2,68989693;2,48420700
-2,68733693;2,48420700
-2,68477693;2,39524500
-2,68221693;2,35084100
-2,67965693;2,48420700
-2,67709693;2,52876400
-2,67453693;2,57316800
-2,67197693;2,66213000
-2,66941693;2,61757300
-2,66685693;2,57316800
-2,66429693;2,52876400
-2,66173693;2,43980200
-2,65917693;2,35084100
-2,65661693;2,39524500
-2,65405693;2,39524500
-2,65149693;2,35084100
-2,64893693;2,35084100
-2,64637693;2,39524500
-2,64381693;2,48420700
-2,64125693;2,57316800
-2,63869693;2,57316800
-2,63613693;2,52876400
-2,63357693;2,52876400
-2,63101693;2,57316800
-2,62845693;2,52876400
-2,62589693;2,52876400
-2,62333693;2,57316800
-2,62077693;2,70653400
-2,61821693;2,70653400
-2,61565693;2,61757300
-2,61309693;2,61757300
-2,61053693;2,66213000
-2,60797693;2,57316800
-2,60541693;2,48420700
-2,60285693;2,43980200
-2,60029693;2,48420700
-2,59773693;2,48420700
-2,59517693;2,43980200
-2,59261693;2,48420700
-2,59005693;2,52876400
-2,58749693;2,39524500
-2,58493693;2,39524500
-2,58237693;2,43980200
-2,57981693;2,48420700
-2,57725693;2,52876400
-2,57469693;2,57316800
-2,57213693;2,52876400
-2,56957693;2,52876400
-2,56701693;2,57316800
-2,56445693;2,52876400
-2,56189693;2,39524500
-2,55933693;2,39524500
-2,55677693;2,48420700
-2,55421693;2,48420700
-2,55165693;2,43980200
-2,54909693;2,48420700
-2,54653693;2,52876400
-2,54397693;2,48420700
-2,54141693;2,43980200
-2,53885693;2,39524500
-2,53629693;2,48420700
-2,53373693;2,52876400
-2,53117693;2,61757300
-2,52861693;2,57316800
-2,52605693;2,52876400
-2,52349693;2,52876400
-2,52093693;2,57316800
-2,51837693;2,52876400
-2,51581693;2,52876400
-2,51325693;2,52876400
-2,51069693;2,48420700
-2,50813693;2,48420700
-2,50557693;2,52876400
-2,50301693;2,57316800
-2,50045693;2,48420700
-2,49789693;2,48420700
-2,49533693;2,48420700
-2,49277693;2,52876400
-2,49021693;2,57316800
-2,48765693;2,48420700
-2,48509693;2,48420700
-2,48253693;2,52876400
-2,47997693;2,52876400
-2,47741693;2,48420700
-2,47485693;2,43980200
-2,47229693;2,48420700
-2,46973693;2,52876400
-2,46717693;2,57316800
-2,46461693;2,52876400
-2,46205693;2,48420700
-2,45949693;2,52876400
-2,45693693;2,57316800
-2,45437693;2,48420700
-2,45181693;2,48420700
-2,44925693;2,52876400
-2,44669693;2,52876400
-2,44413693;2,48420700
-2,44157693;2,48420700
-2,43901693;2,48420700
-2,43645693;2,52876400
-2,43389693;2,43980200
-2,43133693;2,48420700
-2,42877693;2,52876400
-2,42621693;2,57316800
-2,42365693;2,57316800
-2,42109693;2,52876400
-2,41853693;2,52876400
-2,41597693;2,52876400
-2,41341693;2,52876400
-2,41085693;2,52876400
-2,40829693;2,57316800
-2,40573693;2,66213000
-2,40317693;2,70653400
-2,40061693;2,75093800
-2,39805693;2,66213000
-2,39549693;2,57316800
-2,39293693;2,57316800
-2,39037693;2,57316800
-2,38781693;2,43980200
-2,38525693;2,39524500
-2,38269693;2,39524500
-2,38013693;2,39524500
-2,37757693;2,35084100
-2,37501693;2,35084100
-2,37245693;2,35084100
-2,36989693;2,43980200
-2,36733693;2,48420700
-2,36477693;2,57316800
-2,36221693;2,57316800
-2,35965693;2,61757300
-2,35709693;2,66213000
-2,35453693;2,57316800
-2,35197693;2,52876400
-2,34941693;2,57316800
-2,34685693;2,57316800
-2,34429693;2,48420700
-2,34173693;2,39524500
-2,33917693;2,35084100
-2,33661693;2,39524500
-2,33405693;2,35084100
-2,33149693;2,35084100
-2,32893693;2,39524500
-2,32637693;2,39524500
-2,32381693;2,39524500
-2,32125693;2,39524500
-2,31869693;2,48420700
-2,31613693;2,52876400
-2,31357693;2,57316800
-2,31101693;2,52876400
-2,30845693;2,48420700
-2,30589693;2,52876400
-2,30333693;2,52876400
-2,30077693;2,43980200
-2,29821693;2,43980200
-2,29565693;2,48420700
-2,29309693;2,52876400
-2,29053693;2,43980200
-2,28797693;2,43980200
-2,28541693;2,52876400
-2,28285693;2,48420700
-2,28029693;2,48420700
-2,27773693;2,48420700
-2,27517693;2,52876400
-2,27261693;2,57316800
-2,27005693;2,52876400
-2,26749693;2,52876400
-2,26493693;2,57316800
-2,26237693;2,57316800
-2,25981693;2,52876400
-2,25725693;2,52876400
-2,25469693;2,52876400
-2,25213693;2,57316800
-2,24957693;2,66213000
-2,24701693;2,66213000
-2,24445693;2,57316800
-2,24189693;2,57316800
-2,23933693;2,57316800
-2,23677693;2,52876400
-2,23421693;2,43980200
-2,23165693;2,48420700
-2,22909693;2,52876400
-2,22653693;2,52876400
-2,22397693;2,43980200
-2,22141693;2,48420700
-2,21885693;2,52876400
-2,21629693;2,48420700
-2,21373693;2,39524500
-2,21117693;2,39524500
-2,20861693;2,48420700
-2,20605693;2,57316800
-2,20349693;2,52876400
-2,20093693;2,52876400
-2,19837693;2,52876400
-2,19581693;2,48420700
-2,19325693;2,39524500
-2,19069693;2,39524500
-2,18813693;2,43980200
-2,18557693;2,48420700
-2,18301693;2,52876400
-2,18045693;2,57316800
-2,17789693;2,52876400
-2,17533693;2,57316800
-2,17277693;2,57316800
-2,17021693;2,52876400
-2,16765693;2,48420700
-2,16509693;2,43980200
-2,16253693;2,43980200
-2,15997693;2,39524500
-2,15741693;2,39524500
-2,15485693;2,43980200
-2,15229693;2,48420700
-2,14973693;2,48420700
-2,14717693;2,43980200
-2,14461693;2,48420700
-2,14205693;2,48420700
-2,13949693;2,52876400
-2,13693693;2,61757300
-2,13437693;2,61757300
-2,13181693;2,57316800
-2,12925693;2,57316800
-2,12669693;2,66213000
-2,12413693;2,52876400
-2,12157693;2,48420700
-2,11901693;2,52876400
-2,11645693;2,43980200
-2,11389693;2,39524500
-2,11133693;2,43980200
-2,10877693;2,43980200
-2,10621693;2,39524500
-2,10365693;2,39524500
-2,10109693;2,48420700
-2,09853693;2,52876400
