Time;Channel A
(ms);(mV)

-1,49153688;73,22611000
-1,49025688;72,31971000
-1,48897688;72,31971000
-1,48769688;72,31971000
-1,48641688;72,31971000
-1,48513688;72,31971000
-1,48385688;72,31971000
-1,48257688;72,31971000
-1,48129688;71,41637000
-1,48001688;71,41637000
-1,47873688;70,51302000
-1,47745688;71,41637000
-1,47617688;72,31971000
-1,47489688;73,22611000
-1,47361688;74,12946000
-1,47233688;72,31971000
-1,47105688;72,31971000
-1,46977688;72,31971000
-1,46849688;70,51302000
-1,46721688;72,31971000
-1,46593688;71,41637000
-1,46465688;71,41637000
-1,46337688;71,41637000
-1,46209688;70,51302000
-1,46081688;70,51302000
-1,45953688;71,41637000
-1,45825688;72,31971000
-1,45697688;72,31971000
-1,45569688;72,31971000
-1,45441688;72,31971000
-1,45313688;72,31971000
-1,45185688;71,41637000
-1,45057688;71,41637000
-1,44929688;74,12946000
-1,44801688;74,12946000
-1,44673688;74,12946000
-1,44545688;72,31971000
-1,44417688;71,41637000
-1,44289688;71,41637000
-1,44161688;71,41637000
-1,44033688;71,41637000
-1,43905688;70,51302000
-1,43777688;70,51302000
-1,43649688;71,41637000
-1,43521688;70,51302000
-1,43393688;72,31971000
-1,43265688;70,51302000
-1,43137688;71,41637000
-1,43009688;71,41637000
-1,42881688;70,51302000
-1,42753688;71,41637000
-1,42625688;70,51302000
-1,42497688;73,22611000
-1,42369688;72,31971000
-1,42241688;72,31971000
-1,42113688;72,31971000
-1,41985688;72,31971000
-1,41857688;72,31971000
-1,41729688;71,41637000
-1,41601688;71,41637000
-1,41473688;72,31971000
-1,41345688;72,31971000
-1,41217688;72,31971000
-1,41089688;72,31971000
-1,40961688;72,31971000
-1,40833688;71,41637000
-1,40705688;72,31971000
-1,40577688;72,31971000
-1,40449688;70,51302000
-1,40321688;71,41637000
-1,40193688;69,60966000
-1,40065688;70,51302000
-1,39937688;72,31971000
-1,39809688;73,22611000
-1,39681688;72,31971000
-1,39553688;72,31971000
-1,39425688;72,31971000
-1,39297688;72,31971000
-1,39169688;72,31971000
-1,39041688;71,41637000
-1,38913688;73,22611000
-1,38785688;72,31971000
-1,38657688;74,12946000
-1,38529688;72,31971000
-1,38401688;71,41637000
-1,38273688;72,31971000
-1,38145688;71,41637000
-1,38017688;72,31971000
-1,37889688;71,41637000
-1,37761688;71,41637000
-1,37633688;70,51302000
-1,37505688;71,41637000
-1,37377688;71,41637000
-1,37249688;72,31971000
-1,37121688;71,41637000
-1,36993688;71,41637000
-1,36865688;71,41637000
-1,36737688;71,41637000
-1,36609688;71,41637000
-1,36481688;72,31971000
-1,36353688;73,22611000
-1,36225688;73,22611000
-1,36097688;72,31971000
-1,35969688;71,41637000
-1,35841688;72,31971000
-1,35713688;72,31971000
-1,35585688;72,31971000
-1,35457688;71,41637000
-1,35329688;72,31971000
-1,35201688;72,31971000
-1,35073688;71,41637000
-1,34945688;72,31971000
-1,34817688;71,41637000
-1,34689688;72,31971000
-1,34561688;72,31971000
-1,34433688;72,31971000
-1,34305688;70,51302000
-1,34177688;71,41637000
-1,34049688;71,41637000
-1,33921688;71,41637000
-1,33793688;72,31971000
-1,33665688;71,41637000
-1,33537688;72,31971000
-1,33409688;72,31971000
-1,33281688;71,41637000
-1,33153688;71,41637000
-1,33025688;70,51302000
-1,32897688;70,51302000
-1,32769688;70,51302000
-1,32641688;71,41637000
-1,32513688;72,31971000
-1,32385688;72,31971000
-1,32257688;72,31971000
-1,32129688;72,31971000
-1,32001688;71,41637000
-1,31873688;72,31971000
-1,31745688;71,41637000
-1,31617688;73,22611000
-1,31489688;72,31971000
-1,31361688;71,41637000
-1,31233688;71,41637000
-1,31105688;71,41637000
-1,30977688;70,51302000
-1,30849688;71,41637000
-1,30721688;70,51302000
-1,30593688;70,51302000
-1,30465688;70,51302000
-1,30337688;72,31971000
-1,30209688;71,41637000
-1,30081688;72,31971000
-1,29953688;72,31971000
-1,29825688;72,31971000
-1,29697688;72,31971000
-1,29569688;72,31971000
-1,29441688;72,31971000
-1,29313688;71,41637000
-1,29185688;72,31971000
-1,29057688;72,31971000
-1,28929688;72,31971000
-1,28801688;71,41637000
-1,28673688;70,51302000
-1,28545688;72,31971000
-1,28417688;72,31971000
-1,28289688;72,31971000
-1,28161688;73,22611000
-1,28033688;72,31971000
-1,27905688;72,31971000
-1,27777688;71,41637000
-1,27649688;71,41637000
-1,27521688;71,41637000
-1,27393688;72,31971000
-1,27265688;74,12946000
-1,27137688;72,31971000
-1,27009688;71,41637000
-1,26881688;72,31971000
-1,26753688;71,41637000
-1,26625688;71,41637000
-1,26497688;70,51302000
-1,26369688;70,51302000
-1,26241688;70,51302000
-1,26113688;68,70632000
-1,25985688;70,51302000
-1,25857688;70,51302000
-1,25729688;70,51302000
-1,25601688;72,31971000
-1,25473688;72,31971000
-1,25345688;72,31971000
-1,25217688;72,31971000
-1,25089688;70,51302000
-1,24961688;72,31971000
-1,24833688;73,22611000
-1,24705688;73,22611000
-1,24577688;72,31971000
-1,24449688;73,22611000
-1,24321688;73,22611000
-1,24193688;72,31971000
-1,24065688;72,31971000
-1,23937688;72,31971000
-1,23809688;70,51302000
-1,23681688;72,31971000
-1,23553688;71,41637000
-1,23425688;71,41637000
-1,23297688;70,51302000
-1,23169688;72,31971000
-1,23041688;72,31971000
-1,22913688;70,51302000
-1,22785688;71,41637000
-1,22657688;71,41637000
-1,22529688;72,31971000
