time	V(n004)
1.247421754688909e-05	2.477004e+00
1.254278897546085e-05	2.476624e+00
1.261136040403262e-05	2.476276e+00
1.268136040403296e-05	2.475942e+00
1.275136040403330e-05	2.475624e+00
1.282136040403365e-05	2.475319e+00
1.289136040403399e-05	2.475030e+00
1.296136040403433e-05	2.474754e+00
1.303136040403468e-05	2.474493e+00
1.310136040403502e-05	2.474247e+00
1.316850326117821e-05	2.474012e+00
1.323564611832139e-05	2.473790e+00
1.330278897546458e-05	2.473580e+00
1.336993183260777e-05	2.473384e+00
1.343707468975095e-05	2.473200e+00
1.350421754689414e-05	2.473028e+00
1.357136040403733e-05	2.472869e+00
1.363993183260909e-05	2.472727e+00
1.370850326118086e-05	2.472611e+00
1.377707468975262e-05	2.472520e+00
1.384564611832438e-05	2.472454e+00
1.391421754689615e-05	2.472414e+00
1.398278897546791e-05	2.472400e+00
1.405136040403968e-05	2.472412e+00
1.411136040403997e-05	2.472452e+00
1.417136040404027e-05	2.472508e+00
1.423136040404056e-05	2.472582e+00
1.429136040404086e-05	2.472673e+00
1.435136040404115e-05	2.472781e+00
1.441136040404144e-05	2.472905e+00
1.447136040404174e-05	2.473047e+00
1.452993183261345e-05	2.473195e+00
1.458850326118517e-05	2.473344e+00
1.464707468975689e-05	2.473492e+00
1.470564611832860e-05	2.473641e+00
1.476421754690032e-05	2.473790e+00
1.482278897547203e-05	2.473939e+00
1.488136040404375e-05	2.474088e+00
1.493707468975831e-05	2.474219e+00
1.499278897547287e-05	2.474342e+00
1.504850326118743e-05	2.474457e+00
1.510421754690198e-05	2.474565e+00
1.515993183261654e-05	2.474666e+00
1.521564611833110e-05	2.474758e+00
1.527136040404566e-05	2.474844e+00
1.532850326118880e-05	2.474921e+00
1.538564611833194e-05	2.475001e+00
1.544278897547507e-05	2.475082e+00
1.549993183261821e-05	2.475166e+00
1.555707468976135e-05	2.475251e+00
1.561421754690448e-05	2.475338e+00
1.567136040404762e-05	2.475427e+00
1.573278897547649e-05	2.475536e+00
1.579421754690537e-05	2.475662e+00
1.585564611833424e-05	2.475807e+00
1.591707468976311e-05	2.475971e+00
1.597850326119199e-05	2.476152e+00
1.603993183262086e-05	2.476352e+00
1.610136040404973e-05	2.476569e+00
1.616850326119292e-05	2.476839e+00
1.623564611833610e-05	2.477126e+00
1.630278897547929e-05	2.477432e+00
1.636993183262248e-05	2.477754e+00
1.643707468976566e-05	2.478095e+00
1.650421754690885e-05	2.478453e+00
1.657136040405204e-05	2.478829e+00
1.664993183262385e-05	2.479280e+00
1.672850326119566e-05	2.479730e+00
1.680707468976748e-05	2.480178e+00
1.688564611833929e-05	2.480624e+00
1.696421754691110e-05	2.481069e+00
1.704278897548292e-05	2.481512e+00
1.712136040405473e-05	2.481954e+00
1.725421754691253e-05	2.482673e+00
1.738707468977032e-05	2.483374e+00
1.751993183262811e-05	2.484058e+00
1.765278897548591e-05	2.484725e+00
1.778564611834370e-05	2.485374e+00
1.791850326120150e-05	2.486006e+00
1.805136040405929e-05	2.486620e+00
1.811136040405959e-05	2.486891e+00
1.817136040405988e-05	2.487161e+00
1.823136040406017e-05	2.487431e+00
1.829136040406047e-05	2.487700e+00
1.835136040406076e-05	2.487969e+00
1.841136040406106e-05	2.488238e+00
1.847136040406135e-05	2.488506e+00
1.853564611834738e-05	2.488798e+00
1.859993183263341e-05	2.489105e+00
1.866421754691944e-05	2.489426e+00
1.872850326120547e-05	2.489762e+00
1.879278897549150e-05	2.490112e+00
1.885707468977753e-05	2.490477e+00
1.892136040406356e-05	2.490856e+00
1.898850326120674e-05	2.491281e+00
1.905564611834993e-05	2.491729e+00
1.912278897549312e-05	2.492199e+00
1.918993183263630e-05	2.492692e+00
1.925707468977949e-05	2.493207e+00
1.932421754692268e-05	2.493746e+00
1.939136040406586e-05	2.494307e+00
1.948421754692346e-05	2.495118e+00
1.957707468978106e-05	2.495969e+00
1.966993183263866e-05	2.496859e+00
1.976278897549625e-05	2.497788e+00
1.985564611835385e-05	2.498756e+00
1.994850326121145e-05	2.499764e+00
2.004136040406905e-05	2.500810e+00
2.009421754692645e-05	2.501424e+00
2.014707468978385e-05	2.502047e+00
2.019993183264126e-05	2.502678e+00
2.025278897549866e-05	2.503318e+00
2.030564611835606e-05	2.503967e+00
2.035850326121346e-05	2.504624e+00
2.041136040407086e-05	2.505290e+00
2.043136040407096e-05	2.505541e+00
2.048278897549979e-05	2.506193e+00
2.053421754692861e-05	2.506838e+00
2.058564611835743e-05	2.507478e+00
2.063707468978626e-05	2.508111e+00
2.068850326121508e-05	2.508738e+00
2.073993183264390e-05	2.509358e+00
2.079136040407273e-05	2.509972e+00
2.084564611835871e-05	2.510602e+00
2.089993183264469e-05	2.511214e+00
2.095421754693067e-05	2.511806e+00
2.100850326121665e-05	2.512380e+00
2.106278897550263e-05	2.512935e+00
2.111707468978861e-05	2.513471e+00
2.117136040407459e-05	2.513988e+00
2.123564611836062e-05	2.514570e+00
2.129993183264665e-05	2.515132e+00
2.136421754693268e-05	2.515674e+00
2.142850326121871e-05	2.516197e+00
2.149278897550474e-05	2.516701e+00
2.155707468979077e-05	2.517185e+00
2.162136040407680e-05	2.517650e+00
2.169850326122003e-05	2.518194e+00
2.177564611836327e-05	2.518735e+00
2.185278897550650e-05	2.519271e+00
2.192993183264974e-05	2.519802e+00
2.200707468979297e-05	2.520330e+00
2.208421754693621e-05	2.520853e+00
2.216136040407944e-05	2.521372e+00
2.225993183265136e-05	2.522046e+00
2.235850326122327e-05	2.522713e+00
2.245707468979518e-05	2.523372e+00
2.255564611836709e-05	2.524024e+00
2.265421754693900e-05	2.524669e+00
2.275278897551092e-05	2.525306e+00
2.285136040408283e-05	2.525936e+00
2.289707468979734e-05	2.526221e+00
2.294278897551185e-05	2.526503e+00
2.298850326122636e-05	2.526781e+00
2.303421754694087e-05	2.527056e+00
2.307993183265538e-05	2.527327e+00
2.312564611836989e-05	2.527595e+00
2.317136040408440e-05	2.527860e+00
2.323993183265616e-05	2.528254e+00
2.330850326122793e-05	2.528635e+00
2.337707468979969e-05	2.529004e+00
2.344564611837146e-05	2.529359e+00
