time;V(V_tia);
0.00755321;1.0248;
0.00755421;1.0248;
0.00755521;1.0248;
0.00755621;1.0248;
0.00755721;1.0248;
0.00755821;1.0248;
0.00755921;1.0248;
0.00756021;1.0248;
0.00756121;1.0248;
0.00756221;1.0248;
0.00756321;1.0248;
0.00756421;1.0248;
0.00756521;1.0248;
0.00756621;1.0248;
0.00756721;1.0248;
0.00756821;1.0248;
0.00756921;1.0248;
0.00757021;1.0248;
0.00757121;1.0248;
0.00757221;1.0248;
0.00757321;1.0248;
0.00757421;1.0248;
0.00757521;1.0248;
0.00757621;1.0248;
0.00757721;1.0248;
0.00757821;1.0248;
0.00757921;1.0248;
0.00758021;1.0248;
0.00758121;1.0248;
0.00758221;1.0248;
0.00758321;1.0248;
0.00758421;1.0248;
0.00758521;1.0248;
0.00758621;1.0248;
0.00758721;1.0248;
0.00758821;1.0248;
0.00758921;1.0248;
0.00759021;1.0248;
0.00759121;1.0248;
0.00759221;1.0248;
0.00759321;1.0248;
0.00759421;1.0248;
0.00759521;1.0248;
0.00759621;1.0248;
0.00759721;1.0248;
0.00759821;1.0248;
0.00759921;1.0248;
0.00760021;1.0248;
0.00760121;1.0248;
0.00760221;1.0248;
0.00760321;1.0248;
0.00760421;1.0248;
0.00760521;1.0248;
0.00760621;1.0248;
0.00760721;1.0248;
0.00760821;1.0248;
0.00760921;1.0248;
0.00761021;1.0248;
0.00761121;1.0248;
0.00761221;1.0248;
0.00761321;1.0248;
0.00761421;1.0248;
0.00761521;1.0248;
0.00761621;1.0248;
0.00761721;1.0248;
0.00761821;1.0248;
0.00761921;1.0248;
0.00762021;1.0248;
0.00762121;1.0248;
0.00762221;1.0248;
0.00762321;1.0248;
0.00762421;1.0248;
0.00762521;1.0248;
0.00762621;1.0248;
0.00762721;1.0248;
0.00762821;1.0248;
0.00762921;1.0248;
0.00763021;1.0248;
0.00763121;1.0248;
0.00763221;1.0248;
0.00763321;1.0248;
0.00763421;1.0248;
0.00763521;1.0248;
0.00763621;1.0248;
0.00763721;1.0248;
0.00763821;1.0248;
0.00763921;1.0248;
0.00764021;1.0248;
0.00764121;1.0248;
