time;V(V_filt);
0.00254659;-4.01512e-06;
0.00254759;-4.12352e-06;
0.00254859;-4.23192e-06;
0.00254959;-4.34031e-06;
0.00255059;-4.44871e-06;
0.00255159;-4.5571e-06;
0.00255259;-4.66549e-06;
0.00255359;-4.77388e-06;
0.00255459;-4.88227e-06;
0.00255559;-4.99066e-06;
0.00255659;-5.09904e-06;
0.00255759;-5.20742e-06;
0.00255859;-5.3158e-06;
0.00255959;-5.42418e-06;
0.00256059;-5.53255e-06;
0.00256159;-5.64093e-06;
0.00256259;-5.7493e-06;
0.00256359;-5.85766e-06;
0.00256459;-5.96603e-06;
0.00256559;-6.07439e-06;
0.00256659;-6.18276e-06;
0.00256759;-6.29112e-06;
0.00256859;-6.39947e-06;
0.00256959;-6.50783e-06;
0.00257059;-6.61618e-06;
0.00257159;-6.72453e-06;
0.00257259;-6.83287e-06;
0.00257359;-6.94122e-06;
0.00257459;-7.04956e-06;
0.00257559;-7.15789e-06;
0.00257659;-7.26623e-06;
0.00257759;-7.37456e-06;
0.00257859;-7.48289e-06;
0.00257959;-7.59122e-06;
0.00258059;-7.69954e-06;
0.00258159;-7.80786e-06;
0.00258259;-7.91618e-06;
0.00258359;-8.02449e-06;
0.00258459;-8.1328e-06;
0.00258559;-8.24111e-06;
0.00258659;-8.34942e-06;
0.00258759;-8.45772e-06;
0.00258859;-8.56602e-06;
0.00258959;-8.67431e-06;
0.00259059;-8.7826e-06;
0.00259159;-8.89089e-06;
0.00259259;-8.99917e-06;
0.00259359;-9.10745e-06;
0.00259459;-9.21573e-06;
0.00259559;-9.324e-06;
0.00259659;-9.43227e-06;
0.00259759;-9.54054e-06;
0.00259859;-9.6488e-06;
0.00259959;-9.75706e-06;
0.00260059;-9.86532e-06;
0.00260159;-9.97357e-06;
0.00260259;-1.00818e-05;
0.00260359;-1.01901e-05;
0.00260459;-1.02983e-05;
0.00260559;-1.04065e-05;
0.00260659;-1.05148e-05;
0.00260759;-1.0623e-05;
0.00260859;-1.07312e-05;
0.00260959;-1.08394e-05;
0.00261059;-1.09476e-05;
0.00261159;-1.10558e-05;
0.00261259;-1.11641e-05;
0.00261359;-1.12723e-05;
0.00261459;-1.13805e-05;
0.00261559;-1.14886e-05;
0.00261659;-1.15968e-05;
0.00261759;-1.1705e-05;
0.00261859;-1.18132e-05;
0.00261959;-1.19214e-05;
0.00262059;-1.20295e-05;
0.00262159;-1.21377e-05;
0.00262259;-1.22459e-05;
0.00262359;-1.2354e-05;
0.00262459;-1.24622e-05;
0.00262559;-1.25703e-05;
0.00262659;-1.26784e-05;
0.00262759;-1.27866e-05;
0.00262859;-1.28947e-05;
0.00262959;-1.30028e-05;
0.00263059;-1.31109e-05;
0.00263159;-1.32191e-05;
0.00263259;-1.33272e-05;
0.00263359;-1.34353e-05;
0.00263459;-1.35434e-05;
0.00263559;-1.36515e-05;
0.00263659;-1.37596e-05;
0.00263759;-1.38676e-05;
0.00263859;-1.39757e-05;
0.00263959;-1.40838e-05;
0.00264059;-1.41918e-05;
0.00264159;-1.42999e-05;
0.00264259;-1.4408e-05;
0.00264359;-1.4516e-05;
0.00264459;-1.46241e-05;
0.00264559;-1.47321e-05;
0.00264659;-1.48401e-05;
0.00264759;-1.49481e-05;
0.00264859;-1.50562e-05;
0.00264959;-1.51642e-05;
0.00265059;-1.52722e-05;
0.00265159;-1.53802e-05;
0.00265259;-1.54882e-05;
0.00265359;-1.55962e-05;
0.00265459;-1.57042e-05;
0.00265559;-1.58121e-05;
0.00265659;-1.59201e-05;
0.00265759;-1.60281e-05;
0.00265859;-1.6136e-05;
0.00265959;-1.6244e-05;
0.00266059;-1.63519e-05;
0.00266159;-1.64599e-05;
0.00266259;-1.65678e-05;
0.00266359;-1.66757e-05;
0.00266459;-1.67836e-05;
0.00266559;-1.68916e-05;
0.00266659;-1.69995e-05;
0.00266759;-1.71074e-05;
